romeo_id	publisher_name	publisher_alias	link_type	link_url
3031	АБВ-пресс	ABV-press	Policy	http://agx.abvpress.ru/jour/about/submissions#copyrightNotice
2014	Česká pedagogická společnost	Czech Pedagogical Society	Policy	http://www.ped.muni.cz/pedor/index.php?option=com_content&view=article&id=119
2425	České vysoké učení technické v Praze	Czech Technical University in Prague	Policy	https://ojs.cvut.cz/ojs/index.php/gi/about/submissions#copyrightNotice
2489	Ştefan cel Mare University of Suceava		Policy	http://www.aece.ro/files/copyright_transfer_form.pdf
2201	Εθνικό Κέντρο Κοινωνικών Ερευνών	Greek National Center of Social Research	Policy	http://www.grsr.gr/index.php/ekke/about/submissions#copyrightNotice
2010	Philosophy Documentation Center	Res Philosophica	Policy	http://www.resphilosophica.org/policies/copyright/
3105	Hindawi Publishing Corporation	Wiley Hindawi Partnership	Example Policy	http://www.hindawi.com/journals/apm/guidelines/
1445	Wiley Open Access	Creative Commons Attribution Non-Commercial	Example Policy	http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%292045-8827/homepage/open_access_license_and_copyright.htm
1445	Wiley Open Access	Creative Commons Attribution Non-Commercial	Copyright & License	http://www.wileyopenaccess.com/details/content/12f25db4c87/Copyright--License.html
1761	Wiley Open Access	Creative Commons Attribution Non-Commercial No Derivatives	Example Policy	http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%292045-8827/homepage/open_access_license_and_copyright.htm
1761	Wiley Open Access	Creative Commons Attribution Non-Commercial No Derivatives	Copyright & License	http://www.wileyopenaccess.com/details/content/12f25db4c87/Copyright--License.html
1760	Wiley Open Access	Various Creative Commons Licenses	Example Policy	http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%292045-8827/homepage/open_access_license_and_copyright.htm
1760	Wiley Open Access	Various Creative Commons Licenses	Copyright & License	http://www.wileyopenaccess.com/details/content/12f25db4c87/Copyright--License.html
1127	Association for Information Science and Technology (ASIS&T)	Bulletin	Bulletin of the ASIS&T Policy	http://www.asis.org/Bulletin/bulletinpermissionslip.pdf
1128	Association for Information Science and Technology (ASIS&T)	JASIS&T	Journal of the ASIS&T Policy	http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291532-2890/homepage/ForAuthors.html
